# Discriminator Loss, Generator Loss
1.210016131401062012e+00,1.406791496276855469e+01
1.392304778099060059e+00,1.079141616821289062e+01
1.513667821884155273e+00,1.162970638275146484e+01
1.692984342575073242e+00,1.134806823730468750e+01
1.557177782058715820e+00,1.163586807250976562e+01
1.415850877761840820e+00,1.181941986083984375e+01
1.479061365127563477e+00,1.360048103332519531e+01
1.401193857192993164e+00,1.202646064758300781e+01
1.367941498756408691e+00,1.261724948883056641e+01
1.370972752571105957e+00,1.516203975677490234e+01
1.299405694007873535e+00,1.488412857055664062e+01
1.489713549613952637e+00,1.426479530334472656e+01
1.708469510078430176e+00,1.367850208282470703e+01
1.976536870002746582e+00,1.349793624877929688e+01
2.188779830932617188e+00,1.273962974548339844e+01
2.419186830520629883e+00,1.424036788940429688e+01
2.396447896957397461e+00,1.194531917572021484e+01
2.274147510528564453e+00,1.337214756011962891e+01
2.162674665451049805e+00,1.202958297729492188e+01
1.924643993377685547e+00,1.209344482421875000e+01
1.727196574211120605e+00,1.157444381713867188e+01
1.532009363174438477e+00,1.261913204193115234e+01
1.282053709030151367e+00,1.281730461120605469e+01
1.089972376823425293e+00,1.209785461425781250e+01
1.052530050277709961e+00,1.479630947113037109e+01
8.873124718666076660e-01,1.191124248504638672e+01
